Time(d),Al,C,Ca,Fe,H,K,Mg,Na,Nit,O,S,Si,Zz,Ca/Si
15.4,0,0,0.48969,0,1.741,0.0045715,0,1.9996e-09,0,1.9677,0,0.30261,0,1.6182
16.94,0,0,0.4928,0,1.7521,0.0046158,0,1.9996e-09,0,1.9802,0,0.30454,0,1.6182
18.634,0,0,0.49582,0,1.7628,0.004659,0,1.9996e-09,0,1.9924,0,0.3064,0,1.6182
20.497,0,0,0.49873,0,1.7732,0.004701,0,1.9996e-09,0,2.0041,0,0.30821,0,1.6182
22.547,0,0,0.50155,0,1.7833,0.0047419,0,1.9996e-09,0,2.0155,0,0.30996,0,1.6181
24.802,0,0,0.50428,0,1.793,0.0047818,0,1.9996e-09,0,2.0265,0,0.31165,0,1.6181
28,0,0,0.50767,0,1.8051,0.0048358,0,1.9996e-09,0,2.0402,0,0.31376,0,1.6181
30,0,0,0.50948,0,1.8115,0.0048548,0,1.9996e-09,0,2.0474,0,0.31487,0,1.6181
32,0,0,0.51112,0,1.8174,0.0048788,0,1.9996e-09,0,2.054,0,0.31589,0,1.618
34,0,0,0.51263,0,1.8228,0.0049009,0,1.9996e-09,0,2.0601,0,0.31683,0,1.618
36,0,0,0.51403,0,1.8277,0.0049215,0,1.9996e-09,0,2.0657,0,0.31769,0,1.618
38,0,0,0.51532,0,1.8324,0.0049406,0,1.9996e-09,0,2.071,0,0.31849,0,1.618
40,0,0,0.51653,0,1.8367,0.0049586,0,1.9996e-09,0,2.0758,0,0.31924,0,1.618
42,0,0,0.51765,0,1.8407,0.0049754,0,1.9996e-09,0,2.0803,0,0.31994,0,1.618
44,0,0,0.51871,0,1.8444,0.0049913,0,1.9996e-09,0,2.0846,0,0.32059,0,1.618
46,0,0,0.5197,0,1.848,0.0050062,0,1.9996e-09,0,2.0886,0,0.32121,0,1.618
48,0,0,0.52064,0,1.8513,0.0050204,0,1.9996e-09,0,2.0924,0,0.32179,0,1.6179
50,0,0,0.52153,0,1.8545,0.0050338,0,1.9996e-09,0,2.096,0,0.32234,0,1.6179
52,0,0,0.52237,0,1.8575,0.0050466,0,1.9996e-09,0,2.0993,0,0.32286,0,1.6179
54,0,0,0.52316,0,1.8603,0.0050588,0,1.9996e-09,0,2.1026,0,0.32336,0,1.6179
56,0,0,0.52392,0,1.863,0.0050704,0,1.9996e-09,0,2.1056,0,0.32383,0,1.6179
58,0,0,0.52465,0,1.8656,0.0050815,0,1.9996e-09,0,2.1085,0,0.32428,0,1.6179
60,0,0,0.52534,0,1.8681,0.0050921,0,1.9996e-09,0,2.1113,0,0.32471,0,1.6179
62,0,0,0.526,0,1.8704,0.0051023,0,1.9996e-09,0,2.114,0,0.32512,0,1.6179
64,0,0,0.52664,0,1.8727,0.0051121,0,1.9996e-09,0,2.1166,0,0.32551,0,1.6179
66,0,0,0.52724,0,1.8749,0.0051215,0,1.9996e-09,0,2.119,0,0.32589,0,1.6179
68,0,0,0.52783,0,1.877,0.0051305,0,1.9996e-09,0,2.1214,0,0.32625,0,1.6179
70,0,0,0.52839,0,1.879,0.0051392,0,1.9996e-09,0,2.1236,0,0.3266,0,1.6179
72,0,0,0.52893,0,1.8809,0.0051477,0,1.9996e-09,0,2.1258,0,0.32693,0,1.6179
74,0,0,0.52945,0,1.8828,0.0051558,0,1.9996e-09,0,2.1279,0,0.32725,0,1.6179
76,0,0,0.52995,0,1.8845,0.0051636,0,1.9996e-09,0,2.1299,0,0.32757,0,1.6179
78,0,0,0.53044,0,1.8863,0.0051712,0,1.9996e-09,0,2.1319,0,0.32787,0,1.6178
80,0,0,0.53091,0,1.8879,0.0051785,0,1.9996e-09,0,2.1338,0,0.32816,0,1.6178
82,0,0,0.53136,0,1.8896,0.0051857,0,1.9996e-09,0,2.1356,0,0.32844,0,1.6178
84,0,0,0.5318,0,1.8911,0.0051926,0,1.9996e-09,0,2.1374,0,0.32871,0,1.6178
86,0,0,0.53223,0,1.8927,0.0051993,0,1.9996e-09,0,2.1391,0,0.32898,0,1.6178
88,0,0,0.53264,0,1.8941,0.0052058,0,1.9996e-09,0,2.1408,0,0.32923,0,1.6178
90,0,0,0.53304,0,1.8956,0.0052121,0,1.9996e-09,0,2.1424,0,0.32948,0,1.6178
92,0,0,0.53343,0,1.8969,0.0052182,0,1.9996e-09,0,2.144,0,0.32972,0,1.6178
94,0,0,0.53381,0,1.8983,0.0052242,0,1.9996e-09,0,2.1455,0,0.32996,0,1.6178
96,0,0,0.53418,0,1.8996,0.00523,0,1.9996e-09,0,2.147,0,0.33019,0,1.6178
98,0,0,0.53453,0,1.9009,0.0052357,0,1.9996e-09,0,2.1484,0,0.33041,0,1.6178
100,0,0,0.53488,0,1.9021,0.0052412,0,1.9996e-09,0,2.1498,0,0.33062,0,1.6178
102,0,0,0.53522,0,1.9033,0.0052466,0,1.9996e-09,0,2.1512,0,0.33083,0,1.6178
104,0,0,0.53555,0,1.9045,0.0052518,0,1.9996e-09,0,2.1525,0,0.33104,0,1.6178
106,0,0,0.53587,0,1.9057,0.0052569,0,1.9996e-09,0,2.1538,0,0.33124,0,1.6178
108,0,0,0.53619,0,1.9068,0.0052619,0,1.9996e-09,0,2.1551,0,0.33143,0,1.6178
110,0,0,0.53649,0,1.9079,0.0052668,0,1.9996e-09,0,2.1563,0,0.33162,0,1.6178
112,0,0,0.53679,0,1.9089,0.0052716,0,1.9996e-09,0,2.1575,0,0.33181,0,1.6178
114,0,0,0.53708,0,1.91,0.0052761,0,1.9996e-09,0,2.1587,0,0.33199,0,1.6178
116,0,0,0.53737,0,1.911,0.0052808,0,1.9996e-09,0,2.1598,0,0.33217,0,1.6178
118,0,0,0.53765,0,1.912,0.0052853,0,1.9996e-09,0,2.161,0,0.33234,0,1.6178
120,0,0,0.53792,0,1.913,0.0052896,0,1.9996e-09,0,2.1621,0,0.33251,0,1.6178
122,0,0,0.53819,0,1.9139,0.0052939,0,1.9996e-09,0,2.1631,0,0.33267,0,1.6178
124,0,0,0.53845,0,1.9148,0.0052981,0,1.9996e-09,0,2.1642,0,0.33284,0,1.6178
126,0,0,0.5387,0,1.9158,0.0053022,0,1.9996e-09,0,2.1652,0,0.33299,0,1.6178
128,0,0,0.53895,0,1.9167,0.0053062,0,1.9996e-09,0,2.1662,0,0.33315,0,1.6178
130,0,0,0.5392,0,1.9175,0.0053102,0,1.9996e-09,0,2.1672,0,0.3333,0,1.6178
132,0,0,0.53944,0,1.9184,0.005314,0,1.9996e-09,0,2.1682,0,0.33345,0,1.6177
134,0,0,0.53969,0,1.9193,0.005318,0,1.9996e-09,0,2.1692,0,0.33361,0,1.6177
136,0,0,0.53991,0,1.92,0.0053216,0,1.9996e-09,0,2.1701,0,0.33374,0,1.6177
138,0,0,0.54013,0,1.9208,0.0053252,0,1.9996e-09,0,2.171,0,0.33388,0,1.6177
140,0,0,0.54034,0,1.9216,0.0053286,0,1.9996e-09,0,2.1718,0,0.33401,0,1.6177
142,0,0,0.54055,0,1.9223,0.005332,0,1.9996e-09,0,2.1727,0,0.33414,0,1.6177
144,0,0,0.54075,0,1.9231,0.0053353,0,1.9996e-09,0,2.1735,0,0.33427,0,1.6177
146,0,0,0.54095,0,1.9238,0.0053386,0,1.9996e-09,0,2.1743,0,0.33439,0,1.6177
148,0,0,0.54115,0,1.9245,0.0053418,0,1.9996e-09,0,2.1751,0,0.33451,0,1.6177
150,0,0,0.54134,0,1.9252,0.005345,0,1.9996e-09,0,2.1759,0,0.33463,0,1.6177
152,0,0,0.54153,0,1.9259,0.0053482,0,1.9996e-09,0,2.1766,0,0.33475,0,1.6177
154,0,0,0.54172,0,1.9265,0.0053511,0,1.9996e-09,0,2.1774,0,0.33487,0,1.6177
156,0,0,0.5419,0,1.9272,0.0053541,0,1.9996e-09,0,2.1781,0,0.33498,0,1.6177
158,0,0,0.54208,0,1.9278,0.0053571,0,1.9996e-09,0,2.1789,0,0.33509,0,1.6177
160,0,0,0.54226,0,1.9285,0.00536,0,1.9996e-09,0,2.1796,0,0.3352,0,1.6177
162,0,0,0.54244,0,1.9291,0.0053628,0,1.9996e-09,0,2.1803,0,0.33531,0,1.6177
164,0,0,0.54261,0,1.9297,0.0053657,0,1.9996e-09,0,2.181,0,0.33542,0,1.6177
166,0,0,0.54278,0,1.9303,0.0053684,0,1.9996e-09,0,2.1817,0,0.33552,0,1.6177
168,0,0,0.54294,0,1.9309,0.0053712,0,1.9996e-09,0,2.1823,0,0.33563,0,1.6177
170,0,0,0.54311,0,1.9315,0.0053739,0,1.9996e-09,0,2.183,0,0.33573,0,1.6177
172,0,0,0.54327,0,1.9321,0.0053765,0,1.9996e-09,0,2.1836,0,0.33583,0,1.6177
174,0,0,0.54343,0,1.9326,0.0053791,0,1.9996e-09,0,2.1843,0,0.33593,0,1.6177
176,0,0,0.54359,0,1.9332,0.0053817,0,1.9996e-09,0,2.1849,0,0.33602,0,1.6177
178,0,0,0.54374,0,1.9337,0.0053842,0,1.9996e-09,0,2.1855,0,0.33612,0,1.6177
180,0,0,0.54389,0,1.9343,0.0053867,0,1.9996e-09,0,2.1861,0,0.33621,0,1.6177
182,0,0,0.54404,0,1.9348,0.0053892,0,1.9996e-09,0,2.1867,0,0.33631,0,1.6177
184,0,0,0.54419,0,1.9353,0.0053916,0,1.9996e-09,0,2.1873,0,0.3364,0,1.6177
186,0,0,0.54433,0,1.9358,0.005394,0,1.9996e-09,0,2.1879,0,0.33649,0,1.6177
188,0,0,0.54448,0,1.9364,0.0053964,0,1.9996e-09,0,2.1885,0,0.33658,0,1.6177
190,0,0,0.54462,0,1.9369,0.0053987,0,1.9996e-09,0,2.1891,0,0.33666,0,1.6177
192,0,0,0.54476,0,1.9374,0.005401,0,1.9996e-09,0,2.1896,0,0.33675,0,1.6177
194,0,0,0.5449,0,1.9379,0.0054033,0,1.9996e-09,0,2.1902,0,0.33684,0,1.6177
196,0,0,0.54503,0,1.9383,0.0054055,0,1.9996e-09,0,2.1907,0,0.33692,0,1.6177
198,0,0,0.54517,0,1.9388,0.0054078,0,1.9996e-09,0,2.1913,0,0.337,0,1.6177
200,0,0,0.5453,0,1.9393,0.0054099,0,1.9996e-09,0,2.1918,0,0.33709,0,1.6177
202,0,0,0.54543,0,1.9398,0.0054121,0,1.9996e-09,0,2.1923,0,0.33717,0,1.6177
204,0,0,0.54556,0,1.9402,0.0054142,0,1.9996e-09,0,2.1929,0,0.33725,0,1.6177
206,0,0,0.54568,0,1.9407,0.0054163,0,1.9996e-09,0,2.1934,0,0.33733,0,1.6177
208,0,0,0.54581,0,1.9411,0.0054184,0,1.9996e-09,0,2.1939,0,0.3374,0,1.6177
210,0,0,0.54593,0,1.9416,0.0054205,0,1.9996e-09,0,2.1944,0,0.33748,0,1.6177
212,0,0,0.54606,0,1.942,0.0054225,0,1.9996e-09,0,2.1949,0,0.33756,0,1.6177
214,0,0,0.54618,0,1.9424,0.0054245,0,1.9996e-09,0,2.1954,0,0.33763,0,1.6177
216,0,0,0.5463,0,1.9429,0.0054265,0,1.9996e-09,0,2.1958,0,0.33771,0,1.6177
218,0,0,0.54641,0,1.9433,0.0054284,0,1.9996e-09,0,2.1963,0,0.33778,0,1.6177
220,0,0,0.54653,0,1.9437,0.0054304,0,1.9996e-09,0,2.1968,0,0.33785,0,1.6177
222,0,0,0.54665,0,1.9441,0.0054323,0,1.9996e-09,0,2.1973,0,0.33792,0,1.6177
224,0,0,0.54676,0,1.9445,0.0054342,0,1.9996e-09,0,2.1977,0,0.33799,0,1.6177
226,0,0,0.54687,0,1.9449,0.005436,0,1.9996e-09,0,2.1982,0,0.33806,0,1.6177
228,0,0,0.54698,0,1.9453,0.0054379,0,1.9996e-09,0,2.1986,0,0.33813,0,1.6177
230,0,0,0.54709,0,1.9457,0.0054397,0,1.9996e-09,0,2.1991,0,0.3382,0,1.6177
232,0,0,0.5472,0,1.9461,0.0054415,0,1.9996e-09,0,2.1995,0,0.33827,0,1.6177
234,0,0,0.54731,0,1.9465,0.0054433,0,1.9996e-09,0,2.1999,0,0.33833,0,1.6177
236,0,0,0.54742,0,1.9468,0.0054451,0,1.9996e-09,0,2.2004,0,0.3384,0,1.6177
238,0,0,0.54752,0,1.9472,0.0054468,0,1.9996e-09,0,2.2008,0,0.33847,0,1.6177
240,0,0,0.54762,0,1.9476,0.0054486,0,1.9996e-09,0,2.2012,0,0.33853,0,1.6177
242,0,0,0.54773,0,1.948,0.0054503,0,1.9996e-09,0,2.2016,0,0.33859,0,1.6177
244,0,0,0.54783,0,1.9483,0.005452,0,1.9996e-09,0,2.202,0,0.33866,0,1.6177
246,0,0,0.54793,0,1.9487,0.0054537,0,1.9996e-09,0,2.2024,0,0.33872,0,1.6177
248,0,0,0.54803,0,1.949,0.0054554,0,1.9996e-09,0,2.2028,0,0.33878,0,1.6177
250,0,0,0.54813,0,1.9494,0.005457,0,1.9996e-09,0,2.2032,0,0.33884,0,1.6177
252,0,0,0.54822,0,1.9497,0.0054586,0,1.9996e-09,0,2.2036,0,0.3389,0,1.6176
254,0,0,0.54832,0,1.9501,0.0054602,0,1.9996e-09,0,2.204,0,0.33896,0,1.6176
256,0,0,0.54842,0,1.9504,0.0054618,0,1.9996e-09,0,2.2044,0,0.33902,0,1.6176
258,0,0,0.54851,0,1.9508,0.0054634,0,1.9996e-09,0,2.2048,0,0.33908,0,1.6176
260,0,0,0.5486,0,1.9511,0.0054649,0,1.9996e-09,0,2.2052,0,0.33914,0,1.6176
262,0,0,0.5487,0,1.9514,0.0054665,0,1.9996e-09,0,2.2055,0,0.3392,0,1.6176
264,0,0,0.54879,0,1.9517,0.005468,0,1.9996e-09,0,2.2059,0,0.33925,0,1.6176
266,0,0,0.54888,0,1.9521,0.0054695,0,1.9996e-09,0,2.2063,0,0.33931,0,1.6176
268,0,0,0.54897,0,1.9524,0.005471,0,1.9996e-09,0,2.2066,0,0.33936,0,1.6176
270,0,0,0.54906,0,1.9527,0.0054725,0,1.9996e-09,0,2.207,0,0.33942,0,1.6176
272,0,0,0.54915,0,1.953,0.005474,0,1.9996e-09,0,2.2073,0,0.33947,0,1.6176
274,0,0,0.54923,0,1.9533,0.0054755,0,1.9996e-09,0,2.2077,0,0.33953,0,1.6176
276,0,0,0.54932,0,1.9536,0.0054769,0,1.9996e-09,0,2.208,0,0.33958,0,1.6176
278,0,0,0.54941,0,1.9539,0.0054784,0,1.9996e-09,0,2.2084,0,0.33963,0,1.6176
280,0,0,0.54949,0,1.9542,0.0054798,0,1.9996e-09,0,2.2087,0,0.33969,0,1.6176
282,0,0,0.54957,0,1.9545,0.0054812,0,1.9996e-09,0,2.2091,0,0.33974,0,1.6176
284,0,0,0.54966,0,1.9548,0.0054826,0,1.9996e-09,0,2.2094,0,0.33979,0,1.6176
286,0,0,0.54974,0,1.9551,0.005484,0,1.9996e-09,0,2.2097,0,0.33984,0,1.6176
288,0,0,0.54982,0,1.9554,0.0054853,0,1.9996e-09,0,2.2101,0,0.33989,0,1.6176
290,0,0,0.5499,0,1.9557,0.0054867,0,1.9996e-09,0,2.2104,0,0.33994,0,1.6176
292,0,0,0.54998,0,1.956,0.005488,0,1.9996e-09,0,2.2107,0,0.33999,0,1.6176
294,0,0,0.55006,0,1.9563,0.0054894,0,1.9996e-09,0,2.211,0,0.34004,0,1.6176
296,0,0,0.55014,0,1.9566,0.0054907,0,1.9996e-09,0,2.2114,0,0.34009,0,1.6176
298,0,0,0.55022,0,1.9568,0.005492,0,1.9996e-09,0,2.2117,0,0.34014,0,1.6176
300,0,0,0.5503,0,1.9571,0.0054933,0,1.9996e-09,0,2.212,0,0.34019,0,1.6176
302,0,0,0.55037,0,1.9574,0.0054946,0,1.9996e-09,0,2.2123,0,0.34024,0,1.6176
304,0,0,0.55045,0,1.9577,0.0054959,0,1.9996e-09,0,2.2126,0,0.34028,0,1.6176
306,0,0,0.55052,0,1.9579,0.0054972,0,1.9996e-09,0,2.2129,0,0.34033,0,1.6176
308,0,0,0.5506,0,1.9582,0.0054984,0,1.9996e-09,0,2.2132,0,0.34038,0,1.6176
310,0,0,0.55067,0,1.9585,0.0054997,0,1.9996e-09,0,2.2135,0,0.34042,0,1.6176
312,0,0,0.55075,0,1.9587,0.0055009,0,1.9996e-09,0,2.2138,0,0.34047,0,1.6176
314,0,0,0.55082,0,1.959,0.0055021,0,1.9996e-09,0,2.2141,0,0.34051,0,1.6176
316,0,0,0.55089,0,1.9593,0.0055033,0,1.9996e-09,0,2.2144,0,0.34056,0,1.6176
